,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,지점,시간,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
1,속초(90),2018-09-12,18.8,15.5,503,23.1,1246,0,0,0,0,0,0,3.5,160,1650,2.2,290,627,1.2,1028,14.5,59,1247,76.8,16.6,1018.1,1022.1,1,1018.7,1653,1020.3,12.6,2.6,0,0,0,0,0,0,0,0,6.4,4.1,21.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,북춘천(93),2018-09-12,19.6,11.6,529,27.3,1509,0,0,0,0,0,0,4,270,1406,2.5,250,1117,0.9,803,12.8,39,1454,68.3,14.8,1007.9,1021.8,259,1016.1,1611,1019.1,12.6,10,1200,2.5,15.98,0,0,0,0,0,5.4,2,23.9,9.5,23,23.2,23.4,23.2,23.6,24.3,24.3,23.6,21.7,2.8,4,0,{햇무리}1808-{채운}1808-1820.1822.,0
3,철원(95),2018-09-12,19.3,12.2,613,26.4,1652,0,0,0,0,0,0,5.9,20,952,3.9,20,1000,1.1,955,14.1,44,1650,74.5,16.2,1001,1021.7,245,1016.3,1538,1019.1,12.6,10.2,0,0,0,0,0,0,0,0,4.4,2.1,22,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,동두천(98),2018-09-12,21,14.7,505,28.7,1518,0,0,0,0,0,0,4.3,160,1525,3.1,110,1527,1.3,1095,12.9,39,1556,62.1,14.9,1005.4,1021.4,114,1016.3,1546,1018.9,12.6,11.5,0,0,0,0,0,0,0,0,3.1,1.1,24.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,파주(99),2018-09-12,20.1,14.1,605,27.8,1341,0,0,0,0,0,0,5.1,20,928,3.2,50,509,1.5,1331,14.9,46,1343,74.5,17,1015.1,1021,226,1016.5,1530,1018.6,12.6,8.9,0,0,0,0,0,0,0,0,3.5,0.3,24.2,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,대관령(100),2018-09-12,13.8,10.2,515,17.3,1123,0,0,0,0,0,0,5.2,90,1330,4.1,110,1332,1.7,1499,12.4,76,1125,91.9,14.4,932.3,1022.4,4,1018.4,1542,1020.6,12.6,1.5,1100,1.56,8.96,0,0,0,0,0,7.5,6.9,16.3,8.8,0,0,0,0,0,0,0,0,0,1.3,1.8,0,0,0
7,춘천(101),2018-09-12,20.2,13.6,545,27.1,1634,0,0,0,0,0,0,6.5,320,800,3.6,320,801,1.6,1403,14.7,46,1449,72.9,16.8,1010.3,1021.9,256,1016.3,1609,1019.2,12.6,10.6,1200,2.88,19.92,0,0,0,0,0,0,0,23.2,9.6,22.9,22.9,23.3,23.7,24.4,24.9,24.5,21.4,17.1,3.3,4.7,0,0,0
8,백령도(102),2018-09-12,19.9,17.3,2221,22.9,1543,0,0,0,0,0,0,8.6,110,1022,6.2,140,1129,2.7,2296,15.5,56,1604,77,17.6,1012.7,1018.4,958,1015.1,1957,1016.9,12.6,11.1,1200,3.12,23.24,0,0,0,0,0,3.8,1.1,25.7,13.6,0,0,0,0,0,0,0,0,0,3.7,5.3,0,0,0
9,북강릉(104),2018-09-12,18.6,15.3,615,21.3,1133,0,0,0,0,0,0,3.4,140,1028,2.3,140,1032,0.9,746,14.5,65,1109,77.4,16.5,1010.9,1022,1,1018.7,2308,1020.2,12.6,1,1100,1.22,6.14,0,0,0,0,0,9.4,6.4,20.2,13.6,21.3,20.3,23.7,22.6,21.8,22.8,22,19.2,15.1,1.2,1.7,0,0,0
